"grid_id","Species","Species_Code","Rank","Covariates","CAR_Median","CAR_SD","CAR_RelativeRisk"
1,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.297470842956631,1.16288334576578,1.34644911647844
2,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.256791894107403,1.00773402584679,1.29277606628862
3,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.284779883733279,0.997068238024279,1.32946936209914
4,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.292857361293976,0.989473596798117,1.34025162903791
5,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.263442433513316,1.04890626378193,1.30140237587593
6,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.249243895897472,1.17756897346101,1.28305500816857
7,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.229890344621959,0.964241248447907,1.25846201549277
8,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.249286744823752,0.914312435329743,1.28310990675323
9,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.274740161667903,0.908553978792407,1.3161886345435
10,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.271803961214723,0.919370423769353,1.31232970883436
11,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.259367624791062,0.943184922209344,1.29611020070802
12,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.264094569478447,0.995210500644555,1.30225134463223
13,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.059983619127945,0.920950750237384,1.06181915352705
14,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0429674633626657,0.912015983111251,1.04390393395279
15,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.145947087291264,0.927251228967276,1.15713495928585
16,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.135731598900612,0.891520219212757,1.14537443317027
17,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.136104338097694,0.879533977071447,1.1458014675069
18,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.176241470008447,0.861689701444512,1.19272603523088
19,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.18473718141516,0.877405202083915,1.20290225393685
20,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.256345830457024,0.871255656094441,1.29219953400572
21,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.259144741721713,0.883493979307475,1.29582135190605
22,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.227817798404268,0.890193207730354,1.25585648567153
23,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.224278893927665,0.918705973292818,1.25142000752089
24,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.227962092670656,0.947316197888929,1.2560377921933
25,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.224635594368114,1.00786543877042,1.25186645732432
26,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.221578950658113,1.20948561802481,1.2480457783885
27,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0769189846108279,1.04930713047407,1.0799545829129
28,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.052717380755586,0.83999078124975,1.054131688369
29,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0545034014931137,0.779397502577729,1.05601606905326
30,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0766489371925087,0.783433592550406,1.07966299878237
31,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0997515086787139,0.8012798932186,1.10489632693085
32,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.13626964987488,0.816690797940994,1.14599086838997
33,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.138616485877427,0.800666072815089,1.14868348094138
34,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.138267551242519,0.768883450471278,1.14828273819266
35,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.12517324832984,0.780606067398722,1.13334478630543
36,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.155202343814648,0.793485507004923,1.16789425382381
37,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.175832971845556,0.817322024549276,1.19223890477842
38,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.225943684506498,0.850388974560642,1.2535051118335
39,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.205992102006361,0.86570375711604,1.22874349964738
40,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.226859666720435,0.878608798499014,1.25465378594095
41,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.220174309580359,0.898945901166965,1.24629397955274
42,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.225735396769892,0.92314727860246,1.25324401192449
43,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.218770596195552,0.970797719181257,1.24454574521853
44,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.219332274197422,1.07825059451016,1.24524497652639
45,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0231618744690315,0.809099431009842,1.0234321939164
46,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0167307397887407,0.750900726724776,1.01687148263336
47,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0575458812243037,0.711883869528874,1.05923388453875
48,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0726777373742526,0.707663695028714,1.07538392692859
49,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0947953684752121,0.715040292049127,1.09943386019539
50,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.118569893804218,0.717385200331254,1.12588556385481
51,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0988551615832769,0.735865600797601,1.10390640265442
52,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.114599807333238,0.753989856029105,1.12142456706446
53,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.126829181520535,0.750142859124327,1.13522308517374
54,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.141612260565088,0.761505663948304,1.15212983604397
55,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.172935033316699,0.792096560158918,1.18878887090932
56,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.198010021989776,0.832483678327187,1.21897461031441
57,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.200117905905437,0.85069915176222,1.22154677728573
58,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.198034485812753,0.868637695169397,1.21900443147649
59,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.225903098486767,0.872270509100167,1.25345419779397
60,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.233949893349094,0.910729965847706,1.26358117680165
61,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.229529522494554,0.933429369095243,1.25800800687263
62,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.232155248084635,1.03521984953307,1.26131553056618
63,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.171975522792506,1.00112409868207,0.841999789877085
64,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.150608015404834,0.962197258856241,0.860184811789464
65,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.163979568020673,0.951285216448985,0.848759368227856
66,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.109792219542093,1.00171186244731,0.896020291603102
67,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.00705081069594895,0.81069088569147,1.00707572620132
68,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.00259981007174018,0.74146223192447,0.9974035671621
69,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0148752317367825,0.695683052507627,1.01498642678298
70,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0497898887381683,0.678595769758302,1.05105023570502
71,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0504059372121244,0.673383281368594,1.05169793747562
72,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0717557373738606,0.662591514482617,1.07439287830872
73,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.101688229795006,0.685598451370535,1.10703828400341
74,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.103179690081285,0.700219833691548,1.10869061315515
75,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.129129711911258,0.714356988054603,1.13783770846353
76,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.122704784603697,0.746619412798811,1.13055062388881
77,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.153225020362455,0.757475308046063,1.16558723829131
78,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.16631256447295,0.783385082093072,1.18094216518265
79,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.168208517230639,0.812246391116535,1.18318330943955
80,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.182542667091387,0.828236164372285,1.20026536180878
81,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.177445373291298,0.851322189819028,1.19416282429713
82,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.194983382544725,0.866586889285539,1.21529080043003
83,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.207351510526261,0.885808457119132,1.23041500518966
84,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.267421869384098,0.924182059450209,1.30659154565117
85,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.249829550669745,0.995062655680718,1.28380667219336
86,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.257666007926742,1.11094291624518,0.772853316862636
87,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.272322758771897,1.03511001520008,0.761608405629562
88,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.243234020122999,0.978094902717943,0.784088000229128
89,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.220768862936218,0.975139833504709,0.801902008816908
90,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.208252667199991,0.919448643815253,0.812001846386044
91,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.16383261525133,0.895505495742047,0.848884100691041
92,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.169794272876463,0.847746553704484,0.843838404108646
93,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.134561310159109,0.835462944149392,0.874099286207183
94,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.136109958223852,0.86492322254812,0.872746662678174
95,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.110095925856006,0.861783677301202,0.895748206724515
96,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.0658027081154219,0.819740543540075,0.936315573562861
97,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.0170273724771002,0.769137303318545,0.983116775013704
98,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.00608884584114436,0.724305280410093,0.993929655211737
99,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.0271745791104516,0.690001554932887,0.973191330712311
100,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",-0.0170860579073416,0.660971111043109,0.983059164143256
101,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.00335794826634541,0.644789773754872,1.00336360356212
102,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.0271720079552065,0.622723828240664,1.02754457505452
103,"Sambar deer","SBR",2,"ndvi_cv + elev + BB",0.071600297631683,0.631002631654765,1.0742259139958
