"grid_id","Species","Species_Code","Rank","Covariates","CAR_Median","CAR_SD","CAR_RelativeRisk"
1,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0355362841730111,0.167359770604101,1.03617524433493
2,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.037553399615042,0.146149640566304,1.03826743873503
3,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0384722751978617,0.141518507582773,1.03922191603346
4,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.035330638027101,0.143567972127687,1.03596218074452
5,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0424845855810192,0.153829396193398,1.04339997284769
6,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.041748781711442,0.175413797098762,1.04263251753342
7,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0353654494539531,0.139755893337474,1.03599824470986
8,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0371686232400986,0.134581923148272,1.03786801475363
9,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0399104022183537,0.132769252140975,1.04071752411194
10,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0391239622595711,0.132970004474786,1.03989938401444
11,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0376592863368757,0.138236402667064,1.0383773832481
12,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0389703319383017,0.148428236712186,1.03973963613635
13,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0354170847946347,0.16051695126602,1.03605174027246
14,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0363700334925041,0.157697032971457,1.03703951487868
15,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0392174054053426,0.154919493038928,1.03999656003933
16,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0411155780451046,0.144304974798004,1.0419725278054
17,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0396399901946392,0.146204184294988,1.04043613965351
18,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0332763433948346,0.135957630368989,1.03383619357441
19,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0348007680996128,0.131466517235464,1.03541340088177
20,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0379557021294916,0.123593058453369,1.03868522032897
21,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.041282679907019,0.124971988812268,1.04214665783845
22,"Gaur","GAR",1,"ndvi_cv + elev + DE",0.0371252641615482,0.129934001117551,1.03782301475631
